Zone Netherlands,Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.8,LDM-3.2,LDM-3.6,LDM-4.0,LDM-4.4,LDM-4.8,LDM-5.2,LDM-5.6,
NL,DK,60,Import,111.33,145.32,171.09,255.47,288.28,353.90,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,61,Import,114.85,148.82,176.94,264.83,296.48,364.45,411.32,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,62,Import,120.70,158.20,187.50,277.72,314.06,386.72,434.75,441.79,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,63,Import,124.22,164.06,196.88,289.45,325.78,400.77,451.17,458.19,472.27,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,64,Import,124.22,164.06,196.88,289.45,325.78,400.77,451.17,458.19,472.27,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,65,Import,120.70,158.20,187.50,277.72,314.06,386.72,434.75,441.79,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,66,Import,124.22,164.06,196.88,289.45,325.78,400.77,451.17,458.19,472.27,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,67,Import,124.22,164.06,196.88,289.45,325.78,400.77,451.17,458.19,472.27,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,68,Import,127.74,169.92,201.56,295.30,332.81,416.01,467.58,474.60,491.02,499.21,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,69,Import,127.74,169.92,201.56,295.30,332.81,416.01,467.58,474.60,491.02,499.21,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,70,Import,108.99,140.63,165.23,250.78,281.25,345.70,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,71,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,72,Import,114.85,148.82,176.94,264.83,296.48,364.45,411.32,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,73,Import,108.99,140.63,165.23,250.78,281.25,345.70,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,74,Import,114.85,148.82,176.94,264.83,296.48,364.45,411.32,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,75,Import,120.70,158.20,187.50,277.72,314.06,386.72,434.75,441.79,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,76,Import,124.22,164.06,196.88,289.45,325.78,400.77,451.17,458.19,472.27,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,77,Import,127.74,169.92,201.56,295.30,332.81,416.01,467.58,474.60,491.02,499.21,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,78,Import,124.22,164.06,196.88,289.45,325.78,400.77,451.17,458.19,472.27,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,79,Import,127.74,169.92,201.56,295.30,332.81,416.01,467.58,474.60,491.02,499.21,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,80,Import,114.85,148.82,176.94,264.83,296.48,364.45,411.32,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,81,Import,114.85,148.82,176.94,264.83,296.48,364.45,411.32,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,82,Import,114.85,148.82,176.94,264.83,296.48,364.45,411.32,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,83,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,84,Import,120.70,158.20,187.50,277.72,314.06,386.72,434.75,441.79,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,85,Import,120.70,158.20,187.50,277.72,314.06,386.72,434.75,441.79,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,86,Import,114.85,148.82,176.94,264.83,296.48,364.45,411.32,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,87,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,88,Import,120.70,158.20,187.50,277.72,314.06,386.72,434.75,441.79,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,89,Import,120.70,158.20,187.50,277.72,314.06,386.72,434.75,441.79,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
